[2021-03-23 13:25:12.775384] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:13.472261] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:13.472407] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.2, Volume: 71806
[2021-03-23 13:25:13.472510] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:13.975133] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:13.975200] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940, Volume: 71807
[2021-03-23 13:25:14.473234] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:14.473328] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940, Volume: 71807
[2021-03-23 13:25:14.784996] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:14.794091] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940, Volume: 71808
[2021-03-23 13:25:15.475301] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:15.475386] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.2, Volume: 71809
[2021-03-23 13:25:15.973184] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:15.973252] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.2, Volume: 71809
[2021-03-23 13:25:15.973368] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:16.289250] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.8, Volume: 71810
[2021-03-23 13:25:16.289345] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:17.002395] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:17.002503] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941, Volume: 71811
